"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",8.14863275790587,0.252233258826207,32.305940920822,7.42602349211635e-222
"AGEDRIVER(22,26]",-1.03539809326884,0.207146611569483,-4.99838295892924,5.84249306886104e-07
"AGEDRIVER(26,42]",-1.0660253687724,0.164141712124334,-6.49454276415072,8.57450222223913e-11
"AGEDRIVER(42,74]",-1.08223488137045,0.160351446812986,-6.74914322807847,1.53836422121336e-11
"AGEDRIVER(74,Inf]",-0.945009551078229,0.233538747309544,-4.04647863348204,5.22385376921363e-05
"POWERe",0.0523754351151822,0.123558142203407,0.423893028667907,0.671649535945643
"POWERf",0.254020504399426,0.117539141552605,2.16115670953524,0.030698046760419
"POWERg",0.139294501032665,0.121016565785199,1.15103663807408,0.249734390698609
"POWERh",0.0268418504504271,0.171546764959877,0.156469581088895,0.875664871884182
"POWERi",0.43925709185198,0.193689464682203,2.26784194263067,0.0233521362476386
"POWERj",0.159294729746923,0.196417631307255,0.811000156588485,0.417377662956627
"POWERk",0.149353629771324,0.25037326397308,0.596523875597927,0.550833761567542
"POWERl",0.13714885684534,0.370395236285127,0.370277053832745,0.711180978077328
"POWERm",0.52282435592007,0.531469782957883,0.983732984799818,0.325261715462626
"POWERn",0.160496844762318,0.60692797142781,0.2644413378819,0.791443273217071
"POWERo",-0.109071254391645,0.623292303426659,-0.174992140592795,0.861088026904281
"BRANDJapanese (except Nissan) or Korean",0.348405141313062,0.200567260963992,1.7370987649655,0.0823890135408447
"BRANDMercedes, Chrysler or BMW",0.154608095262979,0.236281062800135,0.654339765661875,0.512902351513577
"BRANDOpel, General Motors or Ford",0.0942993598668677,0.201659782381729,0.467616094558531,0.640065531868387
"BRANDother",0.297660673130501,0.280043791380422,1.06290759621286,0.28783992481567
"BRANDRenault, Nissan or Citroen",0.216533828593167,0.175874423285259,1.23118429927677,0.218272067293563
"BRANDVolkswagen, Audi, Skoda or Seat",0.133699563069236,0.206722326694198,0.646759182751537,0.517797105235413
"REGIONR23",-0.134087841854828,0.316665478476675,-0.42343687887881,0.67198224324449
"REGIONR24",0.22627526685714,0.112627626019471,2.00905652417838,0.0445479308973517
"REGIONR25",0.119528815500757,0.231443195785059,0.516449900785865,0.605547369877753
"REGIONR31",-0.000100409803872154,0.172565011982191,-0.000581866525078196,0.999535744974785
"REGIONR52",-0.0730638340695417,0.147575069200697,-0.495096051557173,0.620539130224696
"REGIONR53",0.128144393442715,0.141388230341496,0.906329990362045,0.36477488605185
"REGIONR54",-0.0629573046677926,0.184978121939448,-0.340350004680021,0.733597439237585
"REGIONR72",0.0412300092509558,0.166026061279293,0.24833456225645,0.803878751610292
"REGIONR74",-0.168523644632813,0.332915331170221,-0.506205719155199,0.612719225961375
